squad,League,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season
Hoffenheim,Bundesliga,Gregor Kobel,ch SUI,GK,20,1997,1.0,1.0,90.0,1.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7,0.13,0.7,0.71,15.0,30.0,50.0,37.0,3.0,67.6,47.2,5.0,100.0,66.2,10.0,1.0,10.0,2.0,2.0,16.5,2018/2019
Hoffenheim,Bundesliga,Oliver Baumann,de GER,GK,27,1990,34.0,34.0,3060.0,48.0,1.41,146.0,104.0,0.6920000000000001,15.0,10.0,9.0,10.0,29.4,4.0,3.0,1.0,0.0,34.0,1.0,9.0,3.0,41.2,0.26,-3.8,-0.11,219.0,620.0,35.3,1175.0,173.0,40.8,35.9,230.0,61.3,48.7,311.0,20.0,6.4,37.0,1.09,15.6,2017/2018
Werder Bremen,Bundesliga,Jiří Pavlenka,cz CZE,GK,28-261,1992,13.0,13.0,1170.0,21.0,1.62,56.0,38.0,0.6609999999999999,3.0,5.0,5.0,2.0,15.4,3.0,2.0,1.0,0.0,13.0,0.0,1.0,1.0,17.0,0.25,-3.0,-0.23,93.0,203.0,45.8,340.0,68.0,43.2,37.8,99.0,56.6,44.8,133.0,8.0,6.0,7.0,0.54,12.8,2020/2021
Werder Bremen,Bundesliga,Stefanos Kapino,gr GRE,GK,25,1994,1.0,1.0,90.0,2.0,2.0,5.0,3.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.29,-0.6,-0.57,9.0,18.0,50.0,25.0,8.0,48.0,40.0,9.0,66.7,45.6,19.0,0.0,0.0,1.0,1.0,13.4,2019/2020
Werder Bremen,Bundesliga,Jiří Pavlenka,cz CZE,GK,27,1992,33.0,33.0,2970.0,67.0,2.03,170.0,106.0,0.612,8.0,6.0,19.0,4.0,12.1,1.0,1.0,0.0,0.0,33.0,1.0,13.0,3.0,49.0,0.28,-15.0,-0.46,245.0,580.0,42.2,904.0,162.0,45.8,39.3,296.0,56.1,44.7,356.0,14.0,3.9,23.0,0.7,14.3,2019/2020
Werder Bremen,Bundesliga,Stefanos Kapino,gr GRE,GK,24,1994,1.0,0.0,45.0,1.0,2.0,3.0,2.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.19,-0.5,-0.96,1.0,4.0,25.0,13.0,7.0,23.1,31.2,3.0,33.3,39.0,5.0,0.0,0.0,0.0,0.0,7.0,2018/2019
Werder Bremen,Bundesliga,Jiří Pavlenka,cz CZE,GK,26,1992,34.0,34.0,2978.0,47.0,1.42,153.0,108.0,0.7120000000000001,14.0,11.0,9.0,5.0,14.7,4.0,3.0,0.0,1.0,33.1,2.0,5.0,0.0,45.8,0.29,-1.2,-0.04,257.0,565.0,45.5,920.0,157.0,43.0,38.4,303.0,55.8,46.0,308.0,17.0,5.5,16.0,0.48,14.0,2018/2019
Werder Bremen,Bundesliga,Luca Plogmann,de GER,GK,18,2000,1.0,0.0,37.0,1.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.0,-0.2,-0.45,1.0,1.0,100.0,3.0,2.0,0.0,15.0,2.0,50.0,34.5,3.0,1.0,33.3,0.0,0.0,17.0,2018/2019
Werder Bremen,Bundesliga,Jiří Pavlenka,cz CZE,GK,25,1992,34.0,34.0,3060.0,40.0,1.18,157.0,119.0,0.758,10.0,12.0,12.0,8.0,23.5,4.0,2.0,1.0,1.0,34.0,0.0,6.0,2.0,44.1,0.27,6.1,0.18,250.0,613.0,40.8,901.0,175.0,50.9,42.4,244.0,63.1,51.7,282.0,18.0,6.4,14.0,0.41,13.3,2017/2018
Dortmund,Bundesliga,Roman Bürki,ch SUI,GK,30-047,1990,11.0,11.0,990.0,18.0,1.64,40.0,24.0,0.6,5.0,1.0,5.0,3.0,27.3,2.0,2.0,0.0,0.0,11.0,0.0,4.0,0.0,14.2,0.32,-3.8,-0.35,34.0,97.0,35.1,273.0,53.0,29.7,31.6,52.0,30.8,32.3,61.0,3.0,4.9,4.0,0.36,14.6,2020/2021
